Source,Target,Weight
0,1,0.8916879639769879
0,2,0.5845022687540788
0,3,0.6440140819709945
0,4,0.6461483612745108
0,5,0.8832115017912048
0,6,0.6029286929849555
0,7,0.5855895563495774
0,8,0.7123341981667246
0,9,0.5681053162559747
0,10,0.5855895563495774
0,11,0.7411043994089416
0,12,0.5855895563495774
0,13,0.6018339509234588
0,14,0.5855895563495774
0,15,0.5855895563495774
0,16,0.5855895563495774
0,17,0.5855895563495774
0,18,0.6320043062350329
0,19,0.6320043062350329
0,20,0.6320043062350329
0,21,0.6320043062350329
0,22,0.6320043062350329
0,23,0.6079398647881012
0,24,0.7394405047551348
0,25,0.8261015094278319
0,26,0.6481288702252632
0,27,0.47813187058641393
0,28,0.8124012813464815
0,29,0.6096964892332666
0,30,0.6547090274557993
0,31,0.5855895563495773
0,32,0.6547090274557993
0,33,0.5855895563495773
0,34,0.5855895563495773
0,35,0.5855895563495773
0,36,0.5855895563495773
0,37,0.6547090274557993
0,38,0.5855895563495773
0,39,0.41901377757171154
0,40,0.5855895563495773
0,41,0.6547090274557993
0,42,0.5855895563495773
0,43,0.5855895563495773
0,44,0.6547090274557993
0,45,0.7099896047854304
0,46,0.5855895563495773
0,47,0.5855895563495773
0,48,0.6547090274557993
0,49,0.6612474002767798
0,50,0.6612474002767798
0,51,0.6371024563316985
0,52,0.6612474002767798
0,53,0.6612474002767798
0,54,0.6371024563316985
0,55,0.6612474002767798
0,56,0.6371024563316985
0,57,0.6612474002767798
0,58,0.5118415688774444
0,59,0.5118415688774444
0,60,0.7732939089890013
0,61,0.5724383482126373
0,62,0.5855895563495774
0,63,0.5855895563495774
0,64,0.5855895563495774
0,65,0.5855895563495774
0,66,0.5175929328585102
0,67,0.5855895563495774
0,68,0.5855895563495774
0,69,0.5855895563495774
0,70,0.5855895563495774
0,71,0.5855895563495774
0,72,0.5855895563495774
0,73,0.5855895563495774
0,74,0.621111519430212
0,75,0.5855895563495774
0,76,0.5855895563495774
0,77,0.5855895563495774
0,78,0.2927947781747887
1,2,0.6300647529128981
1,3,0.8471514892203905
1,4,0.7731231971340378
1,5,0.8294900851699728
1,6,0.6917222574952387
1,7,0.6782894786451299
1,8,0.6964607030329947
1,9,0.690939323166813
1,10,0.6782894786451299
1,11,0.8085787186817777
1,12,0.6782894786451299
1,13,0.6863806929429603
1,14,0.6782894786451299
1,15,0.6782894786451299
1,16,0.6782894786451299
1,17,0.6782894786451299
1,18,0.7160797316464376
1,19,0.7160797316464376
1,20,0.7160797316464376
1,21,0.7160797316464376
1,22,0.7160797316464376
1,23,0.6663414591733258
1,24,0.6902344637718107
1,25,0.665001343724025
1,26,0.7721782795608303
1,27,0.4430568321543987
1,28,0.704762854966271
1,29,0.4667019470608498
1,30,0.6673486083762971
1,31,0.6782894786451299
1,32,0.6673486083762971
1,33,0.6782894786451299
1,34,0.6782894786451299
1,35,0.6782894786451299
1,36,0.6782894786451299
1,37,0.6673486083762971
1,38,0.6782894786451299
1,39,0.33974110971884214
1,40,0.6782894786451299
1,41,0.6673486083762971
1,42,0.6782894786451299
1,43,0.6782894786451299
1,44,0.6673486083762971
1,45,0.7518923771217728
1,46,0.6782894786451299
1,47,0.6782894786451299
1,48,0.6673486083762971
1,49,0.6127392806458245
1,50,0.6127392806458245
1,51,0.7150548542941602
1,52,0.6127392806458245
1,53,0.6127392806458245
1,54,0.7150548542941602
1,55,0.6127392806458245
1,56,0.7150548542941602
1,57,0.6127392806458245
1,58,0.542647720471712
1,59,0.542647720471712
1,60,0.6653829233748254
1,61,0.5025269631082596
1,62,0.6782894786451299
1,63,0.6782894786451299
1,64,0.6782894786451299
1,65,0.6782894786451299
1,66,0.5755477079489512
1,67,0.6782894786451299
1,68,0.6782894786451299
1,69,0.6782894786451299
1,70,0.6782894786451299
1,71,0.6782894786451299
1,72,0.6782894786451299
1,73,0.6782894786451299
1,74,0.575547707948951
1,75,0.6782894786451299
1,76,0.6782894786451299
1,77,0.6782894786451299
2,3,0.5072526280223575
2,4,0.3251191517756156
2,5,0.7087049328300447
2,11,0.499036971010705
2,18,0.43087405728426154
2,19,0.43087405728426154
2,20,0.43087405728426154
2,21,0.43087405728426154
2,22,0.43087405728426154
2,23,0.6769621587511969
2,25,0.26760418920602275
2,27,0.27724276167261386
2,28,0.44991052915619373
2,29,0.8079318771036167
2,30,0.30370422894623866
2,32,0.30370422894623866
2,37,0.30370422894623866
2,39,0.44543286912114993
2,41,0.30370422894623866
2,44,0.30370422894623866
2,45,0.5750513613198672
2,48,0.30370422894623866
2,49,0.6760510840968948
2,50,0.6760510840968948
2,51,0.5137926891121867
2,52,0.6760510840968948
2,53,0.6760510840968948
2,54,0.5137926891121867
2,55,0.6760510840968948
2,56,0.5137926891121867
2,57,0.6760510840968948
2,58,0.7844545622318759
2,59,0.7844545622318759
2,61,0.4658610211333023
2,74,0.32013236616511775
3,4,0.7245680986524075
3,5,0.6335757178360989
3,6,0.6182683090065246
3,7,0.5731931222291423
3,8,0.5490194389790528
3,9,0.6950987608318612
3,10,0.5731931222291423
3,11,0.6084132918647978
3,12,0.5731931222291423
3,13,0.6344085318855829
3,14,0.5731931222291423
3,15,0.5731931222291423
3,16,0.5731931222291423
3,17,0.5731931222291423
3,18,0.6186253112356807
3,19,0.6186253112356807
3,20,0.6186253112356807
3,21,0.6186253112356807
3,22,0.6186253112356807
3,23,0.5950702935990054
3,24,0.5321964533655039
3,25,0.4517394644134678
3,26,0.6344085318855829
3,27,0.4680102245113829
3,28,0.5460786082716816
3,29,0.32986856372030854
3,30,0.5126795142158832
3,31,0.5731931222291423
3,32,0.5126795142158832
3,33,0.5731931222291423
3,34,0.5731931222291423
3,35,0.5731931222291423
3,36,0.5731931222291423
3,37,0.5126795142158832
3,38,0.5731931222291423
3,40,0.5731931222291423
3,41,0.5126795142158832
3,42,0.5731931222291423
3,43,0.5731931222291423
3,44,0.5126795142158832
3,45,0.5294931254666199
3,46,0.5731931222291423
3,47,0.5731931222291423
3,48,0.5126795142158832
3,49,0.4739421497661181
3,50,0.4739421497661181
3,51,0.623615537819838
3,52,0.4739421497661181
3,53,0.4739421497661181
3,54,0.623615537819838
3,55,0.4739421497661181
3,56,0.623615537819838
3,57,0.4739421497661181
3,58,0.5010063170873637
3,59,0.5010063170873637
3,60,0.4915090473785752
3,61,0.2949054284271451
3,62,0.5731931222291423
3,63,0.5731931222291423
3,64,0.5731931222291423
3,65,0.5731931222291423
3,66,0.6079631154865742
3,67,0.5731931222291423
3,68,0.5731931222291423
3,69,0.5731931222291423
3,70,0.5731931222291423
3,71,0.5731931222291423
3,72,0.5731931222291423
3,73,0.5731931222291423
3,74,0.40530874365771613
3,75,0.5731931222291423
3,76,0.5731931222291423
3,77,0.5731931222291423
4,5,0.7977032325101591
4,6,0.9453323427379777
4,7,0.9640536124902661
4,8,0.923395890405583
4,9,0.9742389394744225
4,10,0.9640536124902661
4,11,0.7871464784293253
4,12,0.9640536124902661
4,13,0.9145815605947776
4,14,0.9640536124902661
4,15,0.9640536124902661
4,16,0.9640536124902661
4,17,0.9640536124902661
4,18,0.964795763187161
4,19,0.964795763187161
4,20,0.964795763187161
4,21,0.964795763187161
4,22,0.964795763187161
4,23,0.8215923238255967
4,24,0.8951013079609423
4,25,0.7597806841759762
4,26,0.9653916472944875
4,27,0.459168779083773
4,28,0.8234376680980081
4,30,0.8622757645929903
4,31,0.9640536124902661
4,32,0.8622757645929903
4,33,0.9640536124902661
4,34,0.9640536124902661
4,35,0.9640536124902661
4,36,0.9640536124902661
4,37,0.8622757645929903
4,38,0.9640536124902661
4,40,0.9640536124902661
4,41,0.8622757645929903
4,42,0.9640536124902661
4,43,0.9640536124902661
4,44,0.8622757645929903
4,45,0.5565966126844863
4,46,0.9640536124902661
4,47,0.9640536124902661
4,48,0.8622757645929903
4,49,0.6543550171698483
4,50,0.6543550171698483
4,51,0.9403564184235084
4,52,0.6543550171698483
4,53,0.6543550171698483
4,54,0.9403564184235084
4,55,0.6543550171698483
4,56,0.9403564184235084
4,57,0.6543550171698483
4,58,0.6047199923576713
4,59,0.6047199923576713
4,60,0.8266691527180257
4,62,0.9640536124902661
4,63,0.9640536124902661
4,64,0.9640536124902661
4,65,0.9640536124902661
4,66,0.6816888468192552
4,67,0.9640536124902661
4,68,0.9640536124902661
4,69,0.9640536124902661
4,70,0.9640536124902661
4,71,0.9640536124902661
4,72,0.9640536124902661
4,73,0.9640536124902661
4,74,0.6816888468192552
4,75,0.9640536124902661
4,76,0.9640536124902661
4,77,0.9640536124902661
5,6,0.750142387476901
5,7,0.7649981343435595
5,8,0.8206635597657312
5,9,0.7421572026585753
5,10,0.7649981343435596
5,11,0.8328244814768075
5,12,0.7649981343435596
5,13,0.7257409530915381
5,14,0.7649981343435596
5,15,0.7649981343435596
5,16,0.7649981343435596
5,17,0.7649981343435596
5,18,0.8556561119611713
5,19,0.8556561119611713
5,20,0.8556561119611713
5,21,0.8556561119611713
5,22,0.8556561119611713
5,23,0.8653179908921667
5,24,0.823928206118098
5,25,0.8480835398710506
5,26,0.7257409530915381
5,27,0.5205153009230048
5,28,0.9142800982700512
5,29,0.5913993334558988
5,30,0.798274321157934
5,31,0.7649981343435596
5,32,0.798274321157934
5,33,0.7649981343435596
5,34,0.7649981343435596
5,35,0.7649981343435596
5,36,0.7649981343435596
5,37,0.798274321157934
5,38,0.7649981343435596
5,39,0.3421175662105431
5,40,0.7649981343435596
5,41,0.798274321157934
5,42,0.7649981343435596
5,43,0.7649981343435596
5,44,0.798274321157934
5,45,0.7361197979880262
5,46,0.7649981343435596
5,47,0.7649981343435596
5,48,0.798274321157934
5,49,0.8433803461047478
5,50,0.8433803461047478
5,51,0.8753428208663905
5,52,0.8433803461047478
5,53,0.8433803461047478
5,54,0.8753428208663905
5,55,0.8433803461047478
5,56,0.8753428208663905
5,57,0.8433803461047478
5,58,0.7630542502886345
5,59,0.7630542502886345
5,60,0.8134158055947921
5,61,0.3760954800061942
5,62,0.7649981343435596
5,63,0.7649981343435596
5,64,0.7649981343435596
5,65,0.7649981343435596
5,66,0.5409353683893884
5,67,0.7649981343435596
5,68,0.7649981343435596
5,69,0.7649981343435596
5,70,0.7649981343435596
5,71,0.7649981343435596
5,72,0.7649981343435596
5,73,0.7649981343435596
5,74,0.7212471578525179
5,75,0.7649981343435596
